"recipient_code","recipient_name","iso3","wb_name","gbd_location_name","continent","continent_name","region","region_name","subregion","subregion_name","has_worldbank_data","has_gbd_data","no_data_reason","source_12262","source_12263","source_13040","source_51010"
"TON","Tonga","TON","Tonga","Tonga","O","Oceania","O9","Polynesia","TON","Tonga",TRUE,TRUE,,"own","own","own","own"
"TTO","Trinidad and Tobago","TTO","Trinidad and Tobago","Trinidad and Tobago","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"TUN","Tunisia","TUN","Tunisia","Tunisia","F","Africa","F4","Northern Africa","TUN","Tunisia",TRUE,TRUE,,"own","own","own","own"
"TUR","Türkiye","TUR","Turkiye","Türkiye","E","Europe","TUR","Türkiye","TUR","Türkiye",TRUE,TRUE,,"own","own","own","own"
"TKM","Turkmenistan","TKM","Turkmenistan","Turkmenistan","S","Asia","S4_S7","Southern and Central Asia","TKM","Turkmenistan",TRUE,TRUE,,"own","own","own","own"
"TCA","Turks and Caicos Islands","TCA","Turks and Caicos Islands",,"A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,FALSE,,"regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"TUV","Tuvalu","TUV","Tuvalu","Tuvalu","O","Oceania","O9","Polynesia","TUV","Tuvalu",TRUE,TRUE,,"own","own","own","own"
"UGA","Uganda","UGA","Uganda","Uganda","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"UKR","Ukraine","UKR","Ukraine","Ukraine","E","Europe","UKR","Ukraine","UKR","Ukraine",TRUE,TRUE,,"own","own","own","own"
"ARE","United Arab Emirates","ARE","United Arab Emirates","United Arab Emirates","S","Asia","F97","Middle East","ARE","United Arab Emirates",TRUE,TRUE,,"own","own","own","own"
"URY","Uruguay","URY","Uruguay","Uruguay","A","America","A7","South America","URY","Uruguay",TRUE,TRUE,,"own","own","own","own"
"UZB","Uzbekistan","UZB","Uzbekistan","Uzbekistan","S","Asia","S4_S7","Southern and Central Asia","UZB","Uzbekistan",TRUE,TRUE,,"own","own","own","own"
"VUT","Vanuatu","VUT","Vanuatu","Vanuatu","O","Oceania","O7","Melanesia","VUT","Vanuatu",TRUE,TRUE,,"own","own","own","own"
"VEN","Venezuela","VEN","Venezuela, RB","Venezuela (Bolivarian Republic of)","A","America","A7","South America","VEN","Venezuela",TRUE,TRUE,,"own","own","own","own"
"VNM","Viet Nam","VNM","Viet Nam","Viet Nam","S","Asia","S97","Far East Asia","VNM","Viet Nam",TRUE,TRUE,,"own","own","own","own"
"WLF","Wallis and Futuna",,,,"O","Oceania","O9","Polynesia","WLF","Wallis and Futuna",FALSE,FALSE,"small territory, not a World Bank economy","regional (region)","regional (region)","regional (region)","regional (region)"
