"recipient_code","recipient_name","iso3","wb_name","gbd_location_name","continent","continent_name","region","region_name","subregion","subregion_name","has_worldbank_data","has_gbd_data","no_data_reason","source_12262","source_12263","source_13040","source_51010"
"CIV","Côte d’Ivoire","CIV","Cote d'Ivoire","Côte d'Ivoire","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"HRV","Croatia","HRV","Croatia","Croatia","E","Europe","HRV","Croatia","HRV","Croatia",TRUE,TRUE,,"own","own","own","own"
"CUB","Cuba","CUB","Cuba","Cuba","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"CYP","Cyprus","CYP","Cyprus","Cyprus","E","Europe","CYP","Cyprus","CYP","Cyprus",TRUE,TRUE,,"own","own","own","own"
"PRK","Democratic People’s Republic of Korea","PRK","Korea, Dem. People's Rep.","Democratic People's Republic of Korea","S","Asia","S97","Far East Asia","PRK","Democratic People’s Republic of Korea",TRUE,TRUE,,"own","own","own","regional (region)"
"COD","Democratic Republic of the Congo","COD","Congo, Dem. Rep.","Democratic Republic of the Congo","F","Africa","F6","Sub-Saharan Africa","F5","Middle Africa",TRUE,TRUE,,"own","own","own","own"
"DJI","Djibouti","DJI","Djibouti","Djibouti","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"DMA","Dominica","DMA","Dominica","Dominica","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"DOM","Dominican Republic","DOM","Dominican Republic","Dominican Republic","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"EAC","East African Community",,,,"F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",FALSE,FALSE,"OECD programme, not a country","regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"ECU","Ecuador","ECU","Ecuador","Ecuador","A","America","A7","South America","ECU","Ecuador",TRUE,TRUE,,"own","own","own","own"
"EGY","Egypt","EGY","Egypt, Arab Rep.","Egypt","F","Africa","F4","Northern Africa","EGY","Egypt",TRUE,TRUE,,"own","own","own","own"
"SLV","El Salvador","SLV","El Salvador","El Salvador","A","America","A5","Central America and the Caribbean","A3","Central America",TRUE,TRUE,,"own","own","own","own"
"GNQ","Equatorial Guinea","GNQ","Equatorial Guinea","Equatorial Guinea","F","Africa","F6","Sub-Saharan Africa","F5","Middle Africa",TRUE,TRUE,,"own","own","own","own"
"ERI","Eritrea","ERI","Eritrea","Eritrea","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"SWZ","Eswatini","SWZ","Eswatini","Eswatini","F","Africa","F6","Sub-Saharan Africa","F7","Southern Africa",TRUE,TRUE,,"own","own","own","own"
"ETH","Ethiopia","ETH","Ethiopia","Ethiopia","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"FJI","Fiji","FJI","Fiji","Fiji","O","Oceania","O7","Melanesia","FJI","Fiji",TRUE,TRUE,,"own","own","own","own"
